BANCO;MONTO;PERFIL;FECHA
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;4997677;ACTIVO;2020/11/30
INMOBILIARIO, S. A.;1945686;ACTIVO;2020/11/30
DE LOS TRABAJADORES;28029407;ACTIVO;2020/11/30
INDUSTRIAL, S. A.;107179306;ACTIVO;2020/11/30
DE DESARROLLO RURAL, S. A.;84433466;ACTIVO;2020/11/30
INTERNACIONAL, S. A.;11090004;ACTIVO;2020/11/30
CITIBANK, N.A., SUCURSAL GUATEMALA;4229056;ACTIVO;2020/11/30
VIVIBANCO, S. A.;784319;ACTIVO;2020/11/30
FICOHSA GUATEMALA, S. A.;2846268;ACTIVO;2020/11/30
PROMERICA, S. A.;17681466;ACTIVO;2020/11/30
DE ANTIGUA, S. A.;1482883;ACTIVO;2020/11/30
DE AMÉRICA CENTRAL, S. A.;34342100;ACTIVO;2020/11/30
AGROMERCANTIL DE GUATEMALA, S. A.;32020230;ACTIVO;2020/11/30
G&T CONTINENTAL, S. A.;55685038;ACTIVO;2020/11/30
AZTECA DE GUATEMALA, S. A.;1917869;ACTIVO;2020/11/30
INV, S. A.;939617;ACTIVO;2020/11/30
CREDICORP, S. A.;416242;ACTIVO;2020/11/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;4806250;PASIVO;2020/11/30
INMOBILIARIO, S. A.;1618324;PASIVO;2020/11/30
DE LOS TRABAJADORES;24117870;PASIVO;2020/11/30
INDUSTRIAL, S. A.;98184177;PASIVO;2020/11/30
DE DESARROLLO RURAL, S. A.;76328096;PASIVO;2020/11/30
INTERNACIONAL, S. A.;10082494;PASIVO;2020/11/30
CITIBANK, N.A., SUCURSAL GUATEMALA;3802967;PASIVO;2020/11/30
VIVIBANCO, S. A.;628204;PASIVO;2020/11/30
FICOHSA GUATEMALA, S. A.;2529464;PASIVO;2020/11/30
PROMERICA, S. A.;15924584;PASIVO;2020/11/30
DE ANTIGUA, S. A.;1276409;PASIVO;2020/11/30
DE AMÉRICA CENTRAL, S. A.;31287473;PASIVO;2020/11/30
AGROMERCANTIL DE GUATEMALA, S. A.;29372555;PASIVO;2020/11/30
G&T CONTINENTAL, S. A.;50553052;PASIVO;2020/11/30
AZTECA DE GUATEMALA, S. A.;1370634;PASIVO;2020/11/30
INV, S. A.;816529;PASIVO;2020/11/30
CREDICORP, S. A.;357783;PASIVO;2020/11/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;191427;CAPITAL;2020/11/30
INMOBILIARIO, S. A.;327362;CAPITAL;2020/11/30
DE LOS TRABAJADORES;3911537;CAPITAL;2020/11/30
INDUSTRIAL, S. A.;8995128;CAPITAL;2020/11/30
DE DESARROLLO RURAL, S. A.;8105370;CAPITAL;2020/11/30
INTERNACIONAL, S. A.;1007510;CAPITAL;2020/11/30
CITIBANK, N.A., SUCURSAL GUATEMALA;426088;CAPITAL;2020/11/30
VIVIBANCO, S. A.;156116;CAPITAL;2020/11/30
FICOHSA GUATEMALA, S. A.;316804;CAPITAL;2020/11/30
PROMERICA, S. A.;1756883;CAPITAL;2020/11/30
DE ANTIGUA, S. A.;206474;CAPITAL;2020/11/30
DE AMÉRICA CENTRAL, S. A.;3054627;CAPITAL;2020/11/30
AGROMERCANTIL DE GUATEMALA, S. A.;2647675;CAPITAL;2020/11/30
G&T CONTINENTAL, S. A.;5131986;CAPITAL;2020/11/30
AZTECA DE GUATEMALA, S. A.;547235;CAPITAL;2020/11/30
INV, S. A.;123088;CAPITAL;2020/11/30
CREDICORP, S. A.;58459;CAPITAL;2020/11/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5701976;ACTIVO;2020/12/31
INMOBILIARIO, S. A.;1987348;ACTIVO;2020/12/31
DE LOS TRABAJADORES;27839545;ACTIVO;2020/12/31
INDUSTRIAL, S. A.;109248691;ACTIVO;2020/12/31
DE DESARROLLO RURAL, S. A.;85157529;ACTIVO;2020/12/31
INTERNACIONAL, S. A.;11180537;ACTIVO;2020/12/31
CITIBANK, N.A., SUCURSAL GUATEMALA;4824523;ACTIVO;2020/12/31
VIVIBANCO, S. A.;775345;ACTIVO;2020/12/31
FICOHSA GUATEMALA, S. A.;3063499;ACTIVO;2020/12/31
PROMERICA, S. A.;17485138;ACTIVO;2020/12/31
DE ANTIGUA, S. A.;1467480;ACTIVO;2020/12/31
DE AMÉRICA CENTRAL, S. A.;34480915;ACTIVO;2020/12/31
AGROMERCANTIL DE GUATEMALA, S. A.;31812010;ACTIVO;2020/12/31
G&T CONTINENTAL, S. A.;55751644;ACTIVO;2020/12/31
AZTECA DE GUATEMALA, S. A.;1934437;ACTIVO;2020/12/31
INV, S. A.;930519;ACTIVO;2020/12/31
CREDICORP, S. A.;425317;ACTIVO;2020/12/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5468203;PASIVO;2020/12/31
INMOBILIARIO, S. A.;1654549;PASIVO;2020/12/31
DE LOS TRABAJADORES;23956103;PASIVO;2020/12/31
INDUSTRIAL, S. A.;100139997;PASIVO;2020/12/31
DE DESARROLLO RURAL, S. A.;77260902;PASIVO;2020/12/31
INTERNACIONAL, S. A.;10143842;PASIVO;2020/12/31
CITIBANK, N.A., SUCURSAL GUATEMALA;4481708;PASIVO;2020/12/31
VIVIBANCO, S. A.;621595;PASIVO;2020/12/31
FICOHSA GUATEMALA, S. A.;2744551;PASIVO;2020/12/31
PROMERICA, S. A.;15880064;PASIVO;2020/12/31
DE ANTIGUA, S. A.;1269750;PASIVO;2020/12/31
DE AMÉRICA CENTRAL, S. A.;31470534;PASIVO;2020/12/31
AGROMERCANTIL DE GUATEMALA, S. A.;29175847;PASIVO;2020/12/31
G&T CONTINENTAL, S. A.;50635901;PASIVO;2020/12/31
AZTECA DE GUATEMALA, S. A.;1374482;PASIVO;2020/12/31
INV, S. A.;805432;PASIVO;2020/12/31
CREDICORP, S. A.;366104;PASIVO;2020/12/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;233773;CAPITAL;2020/12/31
INMOBILIARIO, S. A.;332799;CAPITAL;2020/12/31
DE LOS TRABAJADORES;3883442;CAPITAL;2020/12/31
INDUSTRIAL, S. A.;9108694;CAPITAL;2020/12/31
DE DESARROLLO RURAL, S. A.;7896627;CAPITAL;2020/12/31
INTERNACIONAL, S. A.;1036695;CAPITAL;2020/12/31
CITIBANK, N.A., SUCURSAL GUATEMALA;342815;CAPITAL;2020/12/31
VIVIBANCO, S. A.;153750;CAPITAL;2020/12/31
FICOHSA GUATEMALA, S. A.;318948;CAPITAL;2020/12/31
PROMERICA, S. A.;1605074;CAPITAL;2020/12/31
DE ANTIGUA, S. A.;197730;CAPITAL;2020/12/31
